Id,Name,Type,ABV,IBU,Brewery,Description,Image_URL
1,Westvleteren XII,Trappiste,10.2,38,Abbaye Saint-Sixte,"Considérée comme l'une des meilleures bières au monde, elle offre des saveurs riches de fruits secs et de caramel.",https://beerworld.ch/wp-content/uploads/webshop/single/7891.jpg
2,Duvel,Blonde Forte,8.5,32,Duvel Moortgat,"Une bière emblématique avec une mousse abondante, des arômes de houblon floral et une finition sèche et piquante.",https://www.amstein.ch/Htdocs/Images/Pictures/101571.jpg
3,Chimay Bleue,Trappiste,9.0,35,Abbaye de Chimay,"Bière à la robe foncée, elle offre des notes de fruits noirs, de torréfaction et d'épices.",https://www.amstein.ch/Htdocs/Images/IF_Bottle_700/101243.jpg
4,Orval,Trappiste,6.2,36,Abbaye d'Orval,"Unique en son genre avec une légère acidité et des notes de brettanomyces, très appréciée pour son caractère sauvage.",https://www.amstein.ch/Htdocs/Images/Pictures/116851.jpg
5,La Chouffe,Blonde,8.0,20,Brasserie d'Achouffe,"Rafraîchissante et épicée avec des notes de coriandre et des touches fruitées.",https://www.amstein.ch/Htdocs/Images/Pictures/101507.jpg
6,Delirium Tremens,Blonde Forte,8.5,26,Brouwerij Huyghe,"Connue pour sa bouteille à l'effigie des éléphants roses, elle présente des saveurs complexes et un caractère épicé.",https://www.amstein.ch/fr/E-Shop/Bieres/Producteurs/Huyghe/Delirium-Tremens.html
7,Rochefort 10,Trappiste,11.3,27,Abbaye de Rochefort,"Riche et puissante, cette bière est pleine de saveurs de fruits noirs et de chocolat avec un arrière-goût persistant.",https://www.amstein.ch/Htdocs/Images/Pictures/119337.jpg
8,Cantillon Gueuze,Lambic,5.0,15,Brasserie-Brouwerij Cantillon,"Une gueuze traditionnelle avec une complexité aigre-douce et des notes de paille et de cidre.",https://www.amstein.ch/Htdocs/Images/Pictures/89962.jpg
9,Tripel Karmeliet,Triple,8.4,16,Brouwerij Bosteels,"Bière triple grain avec des notes de vanille et de banane, extrêmement douce et équilibrée.",https://www.amstein.ch/Htdocs/Images/IF_Bottle_700/111911.jpg
10,St. Bernardus Abt 12,Quadruple,10.0,22,St. Bernardus Watou,"Comparée à une Westvleteren XII, elle offre une complexité riche en fruits et épices.",https://www.amstein.ch/Htdocs/Images/Pictures/131324.jpg
11,Hoegaarden Wit,Blanche,4.9,15,Brouwerij Hoegaarden,"Très rafraîchissante avec des touches de coriandre et de peels d'orange.",https://beerworld.ch/wp-content/uploads/webshop/single/43.jpg
12,Gouden Carolus Classic,Double,8.5,19,Brouwerij Het Anker,"Une dubbel traditionnelle avec des notes de caramel et de fruits secs.",https://petitecave.ch/1727-large_default/carolus-classique.jpg
13,La Corne Triple,Triple,10.0,25,Brouwerij Ebly,"Une bière de couleur blonde cuivrée, au goût intense et complexe de fruit, fleur et agrume, le tout lié d'une amertume équilibrée.",https://www.amstein.ch/Htdocs/Images/Pictures/101771.jpg
14,Leffe Blonde,Blonde,6.6,22,Abbaye de Leffe,"Une des bières blondes belges les plus populaires, douce avec une légère amertume.",https://www.amstein.ch/Htdocs/Images/Pictures/133781.jpg
15,Lindemans Framboise,Lambic - Fruit,2.5,12,Brouwerij Lindemans,"Lambic fruitée avec une forte présence de framboise et une finition douce.",https://www.amstein.ch/Htdocs/Images/Pictures/112031.jpg
16,Chouffe Houblon,DIPA,9.0,59,Brasserie d'Achouffe,"Une double IPA belge avec une forte amertume et des notes de houblon frais.",https://www.amstein.ch/Htdocs/Images/Pictures/101795.jpg
17,Kwak,Ambrée,8.4,24,Brouwerij Bosteels,"Connu pour son verre spécial à long col, cette bière offre un goût riche en caramel et épices.",https://www.amstein.ch/Htdocs/Images/Pictures/111871.jpg
18,Chimay Rouge,Trappiste,7.0,19,Abbaye de Chimay,"La première bière brassée à Chimay, avec un goût doux de fruits frais et de levure.",https://www.amstein.ch/Htdocs/Images/Pictures/101219.jpg
19,Maredsous 8,Double,8.0,22,Abbaye de Maredsous,"Dubbel classique avec des notes de caramel, toffee, et une fin légèrement épicée.",https://www.amstein.ch/Htdocs/Images/IF_Bottle_700/113607.jpg
20,Grimbergen Blonde,Blonde,6.7,22,Abbaye de Grimbergen,"Douce et fruitée avec une légère amertume et des notes de miel et de malt.",https://beerworld.ch/wp-content/uploads/webshop/single/2074.jpg
21,Saison Dupont,Saison,6.5,30,Brasserie Dupont,"La référence pour le style saison, avec des notes épicées et un corps léger.",https://www.amstein.ch/Htdocs/Images/IF_Bottle_700/119449.jpg
22,Blanche de Bruxelles,Blanche,4.5,18,Brasserie Lefebvre,"Légère et trouble avec des saveurs d'agrumes et une touche de coriandre.",https://petitecave.ch/5277-large_default/vedett.jpg
23,Boon Oude Geuze,Lambic,7.0,10,Brouwerij Boon,"Un lambic mélangé vieilli, acide et complexe avec des notes de chêne et de terre.",https://www.amstein.ch/Htdocs/Images/IF_Bottle_700/101987.jpg
24,Corsendonk Pater,Double,7.5,22,Brouwerij Corsendonk,"Robuste avec des saveurs de malt torréfié et de fruits noirs.",https://beerworld.ch/wp-content/uploads/webshop/single/2177.jpg
